2022-05-11 19:39:52,980 | root | INFO | Got Msg: {"id":"Radio","msg":"stats","level":8,"tick":967030,"rx_success":0,"rx_failure":45,"tx_success":1,"tx_failure":0,"freq":433.551,"bw":125,"sf":12,"cr":8,"pwr":22,"stack":279}
2022-05-11 19:40:08,631 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":982630,"stack":279}
2022-05-11 19:40:09,690 | root | INFO | Got Msg: {"id":"Radio","msg":"Missed Header","level":4,"tick":983678,"stack":279}
2022-05-11 19:40:09,692 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":983678,"stack":279}
2022-05-11 19:40:09,695 | root | INFO | Got Msg: {"id":"Radio","msg":"stats","level":8,"tick":983680,"rx_success":0,"rx_failure":46,"tx_success":1,"tx_failure":0,"freq":433.551,"bw":125,"sf":12,"cr":8,"pwr":22,"stack":279}
2022-05-11 19:40:52,545 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":1026388,"stack":279}
2022-05-11 19:40:53,584 | root | INFO | Got Msg: {"id":"Radio","msg":"Missed Header","level":4,"tick":1027436,"stack":279}
2022-05-11 19:40:53,586 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":1027436,"stack":279}
2022-05-11 19:40:53,589 | root | INFO | Got Msg: {"id":"Radio","msg":"stats","level":8,"tick":1027438,"rx_success":0,"rx_failure":47,"tx_success":1,"tx_failure":0,"freq":433.551,"bw":125,"sf":12,"cr":8,"pwr":22,"stack":279}
2022-05-11 19:40:56,444 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":1030269,"stack":279}
2022-05-11 19:40:57,491 | root | INFO | Got Msg: {"id":"Radio","msg":"Missed Header","level":4,"tick":1031317,"stack":279}
2022-05-11 19:40:57,493 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":1031317,"stack":279}
2022-05-11 19:42:17,004 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":1110573,"stack":279}
2022-05-11 19:42:18,051 | root | INFO | Got Msg: {"id":"Radio","msg":"Missed Header","level":4,"tick":1111621,"stack":279}
2022-05-11 19:42:18,053 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":1111621,"stack":279}
2022-05-11 19:42:18,057 | root | INFO | Got Msg: {"id":"Radio","msg":"stats","level":8,"tick":1111623,"rx_success":0,"rx_failure":49,"tx_success":1,"tx_failure":0,"freq":433.551,"bw":125,"sf":12,"cr":8,"pwr":22,"stack":279}
2022-05-11 19:42:34,890 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":1128401,"stack":279}
2022-05-11 19:42:35,936 | root | INFO | Got Msg: {"id":"Radio","msg":"Missed Header","level":4,"tick":1129450,"stack":279}
2022-05-11 19:42:35,938 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":1129450,"stack":279}
2022-05-11 19:42:35,942 | root | INFO | Got Msg: {"id":"Radio","msg":"stats","level":8,"tick":1129452,"rx_success":0,"rx_failure":50,"tx_success":1,"tx_failure":0,"freq":433.551,"bw":125,"sf":12,"cr":8,"pwr":22,"stack":279}
2022-05-11 19:42:47,825 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":1141298,"stack":279}
2022-05-11 19:42:48,879 | root | INFO | Got Msg: {"id":"Radio","msg":"Missed Header","level":4,"tick":1142346,"stack":279}
2022-05-11 19:42:48,880 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":1142346,"stack":279}
2022-05-11 19:43:07,192 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":1160594,"stack":279}
2022-05-11 19:43:08,238 | root | INFO | Got Msg: {"id":"Radio","msg":"Missed Header","level":4,"tick":1161643,"stack":279}
2022-05-11 19:43:08,239 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":1161643,"stack":279}
2022-05-11 19:43:08,242 | root | INFO | Got Msg: {"id":"Radio","msg":"stats","level":8,"tick":1161645,"rx_success":0,"rx_failure":52,"tx_success":1,"tx_failure":0,"freq":433.551,"bw":125,"sf":12,"cr":8,"pwr":22,"stack":279}
2022-05-11 19:43:57,163 | root | INFO | GUI started, opening serial port COM8
2022-05-11 19:44:13,322 | root | INFO | GUI started, opening serial port COM8
2022-05-11 19:45:45,352 | root | INFO | GUI started, opening serial port COM8
2022-05-11 19:45:58,476 | root | INFO | GUI started, opening serial port COM8
2022-05-11 19:46:23,656 | root | INFO | GUI started, opening serial port COM8
2022-05-11 19:46:33,727 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":1366421,"stack":279}
2022-05-11 19:51:43,755 | root | INFO | GUI started, opening serial port COM8
2022-05-11 19:51:47,526 | root | INFO | Sent Msg: {"id":"freq_upd","data":"NDMzLjUx"}
2022-05-11 19:51:49,920 | root | INFO | Sent Msg: {"id":"freq_upd","data":"NDMzLjUx"}
2022-05-11 19:51:52,511 | root | INFO | Sent Msg: {"id":"tx","data":"YTog"}
2022-05-11 19:51:52,856 | root | INFO | Got Msg: {"id":"Radio","msg":"Time to TX","level":32,"tick":1684410,"stack":279}
2022-05-11 19:51:52,858 | root | INFO | Got Msg: {"id":"Radio","msg":"Wait quiet","level":32,"tick":1684410,"stack":279}
2022-05-11 19:51:53,149 | root | INFO | Got Msg: {"id":"Radio","msg":"Heard quiet","level":32,"tick":1684702,"stack":279}
2022-05-11 19:51:53,152 | root | INFO | Got Msg: {"id":"Radio","msg":"TX","level":16,"tick":1684704,"rssi":0,"snr":0,"len":3,"data":"YTog","stack":279}
2022-05-11 19:51:53,152 | root | INFO | Decoded Text: a: 
2022-05-11 19:51:54,097 | root | INFO | Got Msg: {"id":"Radio","msg":"TXDone","level":32,"tick":1685638,"stack":279}
2022-05-11 19:52:25,804 | root | INFO | GUI started, opening serial port COM8
2022-05-11 19:52:25,923 | root | INFO | Got Msg: {"id":"Radio","msg":"Missed Header","level":4,"tick":1717355,"stack":279}
2022-05-11 19:52:25,924 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":1717355,"stack":279}
2022-05-11 19:52:25,928 | root | INFO | Got Msg: {"id":"Radio","msg":"stats","level":8,"tick":1717357,"rx_success":0,"rx_failure":69,"tx_success":2,"tx_failure":0,"freq":433.551,"bw":125,"sf":12,"cr":8,"pwr":22,"stack":279}
2022-05-11 19:52:29,021 | root | INFO | Sent Msg: {"id":"freq_upd","data":"YQ=="}
2022-05-11 19:52:30,300 | root | INFO | Sent Msg: {"id":"freq_upd","data":"YQ=="}
2022-05-11 19:52:31,370 | root | INFO | Sent Msg: {"id":"freq_upd","data":"YQ=="}
2022-05-11 19:52:33,386 | root | INFO | Sent Msg: {"id":"freq_upd","data":"QQ=="}
2022-05-11 19:52:34,273 | root | INFO | Sent Msg: {"id":"freq_upd","data":"QUE="}
2022-05-11 19:52:36,479 | root | INFO | Sent Msg: {"id":"tx","data":"QTog"}
2022-05-11 19:52:36,969 | root | INFO | Got Msg: {"id":"Radio","msg":"Time to TX","level":32,"tick":1728360,"stack":279}
2022-05-11 19:52:36,971 | root | INFO | Got Msg: {"id":"Radio","msg":"Wait quiet","level":32,"tick":1728360,"stack":279}
2022-05-11 19:52:37,231 | root | INFO | Got Msg: {"id":"Radio","msg":"Heard quiet","level":32,"tick":1728620,"stack":279}
2022-05-11 19:52:37,233 | root | INFO | Got Msg: {"id":"Radio","msg":"TX","level":16,"tick":1728621,"rssi":0,"snr":0,"len":3,"data":"QTog","stack":279}
2022-05-11 19:52:37,234 | root | INFO | Decoded Text: A: 
2022-05-11 19:52:38,170 | root | INFO | Got Msg: {"id":"Radio","msg":"TXDone","level":32,"tick":1729556,"stack":279}
2022-05-11 19:54:42,152 | root | INFO | GUI started, opening serial port COM8
2022-05-11 19:54:42,752 | root | INFO | Got Msg: {"id":"Radio","msg":"Missed Header","level":4,"tick":4587,"stack":377}
2022-05-11 19:54:42,754 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":4587,"stack":375}
2022-05-11 19:54:44,997 | root | INFO | Sent Msg: {"id":"freq_upd","data":"QQ=="}
2022-05-11 19:54:50,379 | root | INFO | Sent Msg: {"id":"freq_upd","data":"QQ=="}
2022-05-11 19:54:51,869 | root | INFO | Sent Msg: {"id":"tx","data":"QTog"}
2022-05-11 19:54:52,295 | root | INFO | Got Msg: {"id":"Radio","msg":"Time to TX","level":32,"tick":14089,"stack":375}
2022-05-11 19:54:52,297 | root | INFO | Got Msg: {"id":"Radio","msg":"Wait quiet","level":32,"tick":14089,"stack":375}
2022-05-11 19:54:52,549 | root | INFO | Got Msg: {"id":"Radio","msg":"Heard quiet","level":32,"tick":14349,"stack":375}
2022-05-11 19:54:52,552 | root | INFO | Got Msg: {"id":"Radio","msg":"TX","level":16,"tick":14350,"rssi":0,"snr":0,"len":3,"data":"QTog","stack":352}
2022-05-11 19:54:52,552 | root | INFO | Decoded Text: A: 
2022-05-11 19:54:53,497 | root | INFO | Got Msg: {"id":"Radio","msg":"TXDone","level":32,"tick":15285,"stack":279}
2022-05-11 19:54:54,553 | root | INFO | Got Msg: {"id":"Radio","msg":"stats","level":8,"tick":16335,"rx_success":0,"rx_failure":1,"tx_success":1,"tx_failure":0,"freq":433.551,"bw":125,"sf":12,"cr":8,"pwr":22,"stack":279}
